Episode,RL_Agent,Bot Honest,Bot Challenger,Epsilon
275000,0.00,0.60,98.40,0.046888
275500,0.00,1.20,98.00,0.046851
276000,0.00,1.00,97.40,0.046813
276500,0.00,3.00,96.40,0.046775
277000,0.00,0.40,98.40,0.046738
277500,0.00,2.40,96.40,0.046701
278000,0.00,1.60,96.80,0.046662
278500,0.00,0.80,98.40,0.046625
279000,0.00,0.80,98.60,0.046588
279500,0.00,2.20,97.20,0.046552
280000,0.00,1.60,97.80,0.046515
280500,0.00,1.00,98.20,0.046478
281000,0.00,1.00,98.00,0.046441
281500,0.00,2.20,97.00,0.046404
282000,0.00,2.20,96.60,0.046365
282500,0.00,1.80,97.00,0.046328
283000,0.00,2.00,96.80,0.046291
283500,0.00,0.80,97.60,0.046252
284000,0.00,0.40,99.20,0.046216
284500,0.00,1.00,97.80,0.046179
285000,0.00,1.60,97.80,0.046142
285500,0.00,1.20,97.40,0.046105
286000,0.00,0.80,98.20,0.046068
286500,0.00,1.20,98.20,0.046033
287000,0.00,1.40,98.20,0.045998
287500,0.00,2.40,95.80,0.045959
288000,0.00,1.40,97.60,0.045923
288500,0.00,1.60,97.60,0.045887
289000,0.00,0.80,98.60,0.045852
289500,0.00,1.40,97.80,0.045817
290000,0.00,1.60,97.20,0.045781
290500,0.00,1.40,98.60,0.045745
291000,0.00,1.60,97.80,0.045708
291500,0.00,2.20,96.80,0.045671
292000,0.00,1.00,98.60,0.045636
292500,0.00,1.00,97.20,0.045599
293000,0.00,1.80,96.60,0.045561
293500,0.00,0.80,98.20,0.045524
294000,0.00,1.00,98.20,0.045488
294500,0.00,1.00,97.40,0.045451
295000,0.00,1.40,97.60,0.045414
295500,0.00,1.20,97.60,0.045378
296000,0.00,0.60,97.80,0.045342
296500,0.00,0.80,98.60,0.045305
297000,0.00,1.40,97.00,0.045269
297500,0.00,1.60,97.00,0.045232
298000,0.00,0.80,98.20,0.045195
298500,0.00,0.80,97.60,0.045158
299000,0.00,1.00,98.20,0.045123
299500,0.00,1.00,98.00,0.045086
300000,0.00,1.60,96.80,0.045049
300500,0.00,1.00,98.00,0.045013
301000,0.00,0.60,98.80,0.044977
301500,0.00,1.20,97.00,0.044939
302000,0.00,1.00,98.20,0.044903
302500,0.00,0.80,98.40,0.044868
303000,0.00,1.20,97.60,0.044832
303500,0.00,1.40,98.00,0.044797
304000,0.00,1.00,98.20,0.044761
304500,0.00,1.20,98.00,0.044726
305000,0.00,0.40,98.20,0.044689
305500,0.00,1.80,96.00,0.044652
306000,0.00,0.20,98.80,0.044617
306500,0.00,1.20,97.80,0.044580
307000,0.00,1.40,97.80,0.044545
307500,0.00,1.40,96.80,0.044509
308000,0.00,0.80,98.00,0.044473
308500,0.00,1.20,98.00,0.044437
309000,0.00,1.60,97.80,0.044403
309500,0.00,0.80,98.40,0.044367
310000,0.00,2.00,96.60,0.044330
310500,0.00,1.40,97.60,0.044295
311000,0.00,0.80,98.40,0.044260
311500,0.00,0.80,98.20,0.044225
312000,0.00,1.20,98.60,0.044190
312500,0.00,1.60,97.20,0.044155
313000,0.00,0.60,97.40,0.044118
313500,0.00,0.80,97.60,0.044082
314000,0.00,1.20,97.20,0.044046
314500,0.00,1.20,97.60,0.044010
315000,0.00,2.00,96.60,0.043975
315500,0.00,0.80,98.40,0.043940
316000,0.00,1.20,98.40,0.043906
316500,0.00,1.80,97.00,0.043871
317000,0.00,0.80,97.80,0.043835
317500,0.00,1.60,97.20,0.043800
318000,0.00,1.20,97.80,0.043765
318500,0.00,1.40,97.00,0.043729
319000,0.00,1.00,98.20,0.043694
319500,0.00,1.40,97.60,0.043659
320000,0.00,0.60,98.40,0.043624
